# alias PD xsec nmc sumw
DYJets	DYJetsToLL_M-50_TuneCP5_13TeV-amcatnloFXFX-pythia8	6077.22	194213235	131615987
DYJets_M-100to200 DYJetsToLL_M-100to200_TuneCP5_13TeV-amcatnloFXFX-pythia8 226.6 14255862.000000 10057516.000000
DYJets_M-200to400 DYJetsToLL_M-200to400_TuneCP5_13TeV-amcatnloFXFX-pythia8 7.77 2587941.000000 1672775.000000
DYJets_M-400to500 DYJetsToLL_M-400to500_TuneCP5_13TeV-amcatnloFXFX-pythia8 0.4065 487372.000000 307326.000000
DYJets_M-500to700 DYJetsToLL_M-500to700_TuneCP5_13TeV-amcatnloFXFX-pythia8 0.2334 481980.000000 300080.000000
DYJets_M-700to800 DYJetsToLL_M-700to800_TuneCP5_13TeV-amcatnloFXFX-pythia8 0.03614 446493.000000 275883.000000
DYJets_M-800to1000 DYJetsToLL_M-800to1000_TuneCP5_13TeV-amcatnloFXFX-pythia8 0.03047 504407.000000 310237.000000
DYJets_M-1000to1500 DYJetsToLL_M-1000to1500_TuneCP5_13TeV-amcatnloFXFX-pythia8 0.01636 492743.000000 303721.000000
DYJets_M-1500to2000 DYJetsToLL_M-1500to2000_TuneCP5_13TeV-amcatnloFXFX-pythia8 0.00218 541461.000000 330117.000000
DYJets_M-2000to3000 DYJetsToLL_M-2000to3000_TuneCP5_13TeV-amcatnloFXFX-pythia8 0.0005156 489512.000000 283106.000000
DYJets_M-3000toInf DYJetsToLL_M-3000toInf_TuneCP5_13TeV-amcatnloFXFX-pythia8 0.00000 496959.000000 185641.000000
DYJets_Pt-50To100 DYJetsToLL_Pt-50To100_TuneCP5_13TeV-amcatnloFXFX-pythia8 363.81428 120435658.000000 43951950.000000
DYJets_Pt-100To250 DYJetsToLL_Pt-100To250_TuneCP5_13TeV-amcatnloFXFX-pythia8 84.014804 81687671.000000 29826449.000000
DYJets_Pt-250To400 DYJetsToLL_Pt-250To400_TuneCP5_13TeV-amcatnloFXFX-pythia8 3.228256512 20199757.000000 7807661.000000
DYJets_Pt-400To650 DYJetsToLL_Pt-400To650_TuneCP5_13TeV-amcatnloFXFX-pythia8 0.436041144 1863809.000000 763773.000000
DYJets_Pt-650ToInf DYJetsToLL_Pt-650ToInf_TuneCP5_13TeV-amcatnloFXFX-pythia8 0.040981055 1895998.000000 831884.000000
DYJets10to50_MG	DYJetsToLL_M-10to50_TuneCP5_13TeV-madgraphMLM-pythia8	18610	46976952	46939950
