# alias PD xsec nmc sumw
DYJets	DYJetsToLL_M-50_TuneCP5_13TeV-amcatnloFXFX-pythia8	6077.22	209747524	142142566
DYJets_M-100to200 DYJetsToLL_M-100to200_TuneCP5_13TeV-amcatnloFXFX-pythia8 226.6 13787181.000000 9735403.000000
DYJets_M-200to400 DYJetsToLL_M-200to400_TuneCP5_13TeV-amcatnloFXFX-pythia8 7.77 2893179.000000 1865323.000000
DYJets_M-400to500 DYJetsToLL_M-400to500_TuneCP5_13TeV-amcatnloFXFX-pythia8 0.4065 504582.000000 318084.000000
DYJets_M-500to700 DYJetsToLL_M-500to700_TuneCP5_13TeV-amcatnloFXFX-pythia8 0.2334 478062.000000 295682.000000
DYJets_M-700to800 DYJetsToLL_M-700to800_TuneCP5_13TeV-amcatnloFXFX-pythia8 0.03614 503757.000000 309219.000000
DYJets_M-800to1000 DYJetsToLL_M-800to1000_TuneCP5_13TeV-amcatnloFXFX-pythia8 0.03047 540993.000000 332043.000000
DYJets_M-1000to1500 DYJetsToLL_M-1000to1500_TuneCP5_13TeV-amcatnloFXFX-pythia8 0.01636 444230.000000 272694.000000
DYJets_M-1500to2000 DYJetsToLL_M-1500to2000_TuneCP5_13TeV-amcatnloFXFX-pythia8 0.00218 458896.000000 277772.000000
DYJets_M-2000to3000 DYJetsToLL_M-2000to3000_TuneCP5_13TeV-amcatnloFXFX-pythia8 0.0005156 502544.000000 285058.000000
DYJets_M-3000toInf DYJetsToLL_M-3000toInf_TuneCP5_13TeV-amcatnloFXFX-pythia8 0.00000 498600.000000 169782.000000
DYJets_Pt-50To100 DYJetsToLL_Pt-50To100_TuneCP5_13TeV-amcatnloFXFX-pythia8 363.81428 110987320.000000 40486334.000000
DYJets_Pt-100To250 DYJetsToLL_Pt-100To250_TuneCP5_13TeV-amcatnloFXFX-pythia8 84.014804 70469464.000000 25731542.000000
DYJets_Pt-250To400 DYJetsToLL_Pt-250To400_TuneCP5_13TeV-amcatnloFXFX-pythia8 3.228256512 20970944.000000 8110926.000000
DYJets_Pt-400To650 DYJetsToLL_Pt-400To650_TuneCP5_13TeV-amcatnloFXFX-pythia8 0.436041144 1854553.000000 758845.000000
DYJets_Pt-650ToInf DYJetsToLL_Pt-650ToInf_TuneCP5_13TeV-amcatnloFXFX-pythia8 0.040981055 1885153.000000 826575.000000
DYJets10to50_MG_newpmx	DYJetsToLL_M-10to50_TuneCP5_13TeV-madgraphMLM-pythia8	18610	316134	315866
DYJets10to50_MG DYJetsToLL_M-10to50_TuneCP5_13TeV-madgraphMLM-pythia8 18610 79058069.000000 78994955.000000
DYJets_MG_HT-100to200	DYJetsToLL_M-50_HT-100to200_TuneCP5_13TeV-madgraphMLM-pythia8	181.30	14185757	14163583
DYJets_MG_HT-1200to2500	DYJetsToLL_M-50_HT-1200to2500_TuneCP5_13TeV-madgraphMLM-pythia8	0.186222	625517	616923
DYJets_MG_HT-200to400	DYJetsToLL_M-50_HT-200to400_TuneCP5_13TeV-madgraphMLM-pythia8	50.4177	10728447	10699051
DYJets_MG_HT-2500toInf	DYJetsToLL_M-50_HT-2500toInf_TuneCP5_13TeV-madgraphMLM-pythia8	0.00438495	404986	387646
DYJets_MG_HT-400to600	DYJetsToLL_M-50_HT-400to600_TuneCP5_13TeV-madgraphMLM-pythia8	6.98394	10657929	10611153
DYJets_MG_HT-40to70	DYJetsToLL_M-50_HT-40to70_TuneCP5_13TeV-madgraphMLM-pythia8	1.	14573370	14562548
DYJets_MG_HT-600to800	DYJetsToLL_M-50_HT-600to800_TuneCP5_13TeV-madgraphMLM-pythia8	1.68141	8153358	8104916
DYJets_MG_HT-70to100	DYJetsToLL_M-50_HT-70to100_TuneCP5_13TeV-madgraphMLM-pythia8	208.977	9344037	9333543
DYJets_MG_HT-800to1200	DYJetsToLL_M-50_HT-800to1200_TuneCP5_13TeV-madgraphMLM-pythia8	0.775392	3089861	3064779
QCD_Pt-1000toInf_MuEnrichedPt5	QCD_Pt-1000toInf_MuEnrichedPt5_TuneCP5_13TeV_pythia8	1.62131692	11596693	11596693
QCD_Pt-120to170_EMEnriched	QCD_Pt-120to170_EMEnriched_TuneCP5_13TeV_pythia8	62964.	8515107	8515107
QCD_Pt-120to170_MuEnrichedPt5	QCD_Pt-120to170_MuEnrichedPt5_TuneCP5_13TeV_pythia8	25190.51514	20774848	20774848
QCD_Pt-15to20_EMEnriched	QCD_Pt-15to20_EMEnriched_TuneCP5_13TeV_pythia8	2302200.	11215220	11215220
QCD_Pt-15to20_MuEnrichedPt5	QCD_Pt-15to20_MuEnrichedPt5_TuneCP5_13TeV_pythia8	3819570.	5859904	5859904
QCD_Pt-170to300_MuEnrichedPt5	QCD_Pt-170to300_MuEnrichedPt5_TuneCP5_13TeV_pythia8	8654.49315	46170668	46170668
QCD_Pt-20to30_EMEnriched	QCD_Pt-20to30_EMEnriched_TuneCP5_13TeV_pythia8	5352960.	11212810	11212810
QCD_Pt-20to30_MuEnrichedPt5	QCD_Pt-20to30_MuEnrichedPt5_TuneCP5_13TeV_pythia8	2960198.4	28213684	28213684
QCD_Pt-300to470_MuEnrichedPt5	QCD_Pt-300to470_MuEnrichedPt5_TuneCP5_13TeV_pythia8	797.35269	17744779	17744779
QCD_Pt-300toInf_EMEnriched	QCD_Pt-300toInf_EMEnriched_TuneCP5_13TeV_pythia8	1350.	2874295	2874295
QCD_Pt-30to40_DoubleEMEnriched_MGG-80toInf	QCD_Pt-30to40_DoubleEMEnriched_MGG-80toInf_TuneCP5_13TeV_Pythia8	216000.	14669541	14669541
QCD_Pt-30to50_EMEnriched	QCD_Pt-30to50_EMEnriched_TuneCP5_13TeV_pythia8	9928000.	14766010	14766010
QCD_Pt-30to50_MuEnrichedPt5	QCD_Pt-30to50_MuEnrichedPt5_TuneCP5_13TeV_pythia8	1652471.46	29030324	29030324
QCD_Pt-40toInf_DoubleEMEnriched_MGG-80toInf	QCD_Pt-40toInf_DoubleEMEnriched_MGG-80toInf_TuneCP5_13TeV_Pythia8	86592.	20622034	20622034
QCD_Pt-470to600_MuEnrichedPt5	QCD_Pt-470to600_MuEnrichedPt5_TuneCP5_13TeV_pythia8	79.02553776	24243589	24243589
QCD_Pt-50to80_EMEnriched	QCD_Pt-50to80_EMEnriched_TuneCP5_13TeV_pythia8	2890800.	10477146	10477146
QCD_Pt-50to80_MuEnrichedPt5	QCD_Pt-50to80_MuEnrichedPt5_TuneCP5_13TeV_pythia8	437504.1	24068613	24068613
QCD_Pt-600to800_MuEnrichedPt5	QCD_Pt-600to800_MuEnrichedPt5_TuneCP5_13TeV_pythia8	25.09505908	17263676	17263676
QCD_Pt-800to1000_MuEnrichedPt5	QCD_Pt-800to1000_MuEnrichedPt5_TuneCP5_13TeV_pythia8	4.707368272	17114527	17114527
QCD_Pt-80to120_EMEnriched	QCD_Pt-80to120_EMEnriched_TuneCP5_13TeV_pythia8	350000.	9104852	9104852
QCD_Pt-80to120_MuEnrichedPt5	QCD_Pt-80to120_MuEnrichedPt5_TuneCP5_13TeV_pythia8	106033.6648	23248995	23248995
QCD_Pt_170to250_bcToE	QCD_Pt_170to250_bcToE_TuneCP5_13TeV_pythia8	2635.81332	9847660	9847660
QCD_Pt_20to30_bcToE	QCD_Pt_20to30_bcToE_TuneCP5_13TeV_pythia8	328999.93	5747933	5747933
QCD_Pt_250toInf_bcToE	QCD_Pt_250toInf_bcToE_TuneCP5_13TeV_pythia8	711.925875	9996886	9996886
QCD_Pt_30to80_bcToE	QCD_Pt_30to80_bcToE_TuneCP5_13TeV_pythia8	405623.4	16073047	16073047
QCD_Pt_80to170_bcToE	QCD_Pt_80to170_bcToE_TuneCP5_13TeV_pythia8	38104.43	15999466	15999466
SingleTop_sch_Lep	ST_s-channel_4f_leptonDecays_TuneCP5_PSweights_13TeV-amcatnlo-pythia8	3.36	9914948	6185062
SingleTop_tW_antitop_NoFullyHad	ST_tW_antitop_5f_NoFullyHadronicDecays_TuneCP5_13TeV-powheg-pythia8	19.2	5635539	5592819
SingleTop_tW_top_NoFullyHad	ST_tW_top_5f_NoFullyHadronicDecays_TuneCP5_PSweights_13TeV-powheg-pythia8	19.2	5103599	5063921
SingleTop_tch_antitop_Incl	ST_t-channel_antitop_5f_TuneCP5_PSweights_13TeV-powheg-pythia8	80.95	7765400	7723396
SingleTop_tch_top_Incl	ST_t-channel_top_5f_TuneCP5_13TeV-powheg-pythia8	136.02	11709100	11641768
TG	TGJets_TuneCP5_13TeV_amcatnlo_madspin_pythia8	2.967	1909000	372122
TTG	TTGJets_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8	3.795	7349100	2854142
TTLJ_powheg	TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8	365.34	43732445	43379133
TTLL_powheg	TTTo2L2Nu_TuneCP5_PSweights_13TeV-powheg-pythia8	88.29	69155808	68595608
VBF_HToZZTo4L	VBF_HToZZTo4L_M125_13TeV_powheg2_JHUGenV7011_pythia8	0.001034	1000000	998750
VHToNonbb	VHToNonbb_M125_13TeV_amcatnloFXFX_madspin_pythia8	0.9561	918508	451414
WGToLNuG_01J	WGToLNuG_01J_5f_TuneCP5_13TeV-amcatnloFXFX-pythia8	489	25918966	15589532
WJets_MG	WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8	61530	30008250	29981320
WJets_MG_HT-100To200	WJetsToLNu_HT-100To200_TuneCP5_13TeV-madgraphMLM-pythia8	1627.45	35862893	35804623
WJets_MG_HT-1200To2500	WJetsToLNu_HT-1200To2500_TuneCP5_13TeV-madgraphMLM-pythia8	1.60809	20258624	19991892
WJets_MG_HT-200To400	WJetsToLNu_HT-200To400_TuneCP5_13TeV-madgraphMLM-pythia8	435.237	21250517	21192211
WJets_MG_HT-2500ToInf	WJetsToLNu_HT-2500ToInf_TuneCP5_13TeV-madgraphMLM-pythia8	0.0389136	21495421	20629585
WJets_MG_HT-400To600	WJetsToLNu_HT-400To600_TuneCP5_13TeV-madgraphMLM-pythia8	59.1811	14313274	14250114
WJets_MG_HT-600To800	WJetsToLNu_HT-600To800_TuneCP5_13TeV-madgraphMLM-pythia8	14.5805	21709087	21582309
WJets_MG_HT-70To100	WJetsToLNu_HT-70To100_TuneCP5_13TeV-madgraphMLM-pythia8	1637.1	22255124	22229710
WJets_MG_HT-800To1200	WJetsToLNu_HT-800To1200_TuneCP5_13TeV-madgraphMLM-pythia8	6.65621	20432728	20272990
WWTo2L2Nu_DS	WWTo2L2Nu_DoubleScattering_13TeV-pythia8	0.1703	968000	968000
WWTo2L2Nu_powheg	WWTo2L2Nu_NNPDF31_TuneCP5_PSweights_13TeV-powheg-pythia8	12.178	2000000	1992526
WWToLNuQQ_powheg	WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8	49.997	8782525	8749353
WWW	WWW_4F_TuneCP5_13TeV-amcatnlo-pythia8	0.2086	232300	203246
