# alias PD xsec nmc sumw
DYJets	DYJetsToLL_M-50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8	6077.22	120777245	80924255
DYJets_M-100to200 DYJetsToLL_M-100to200_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8 226.6 16141342.000000 10466372.000000
DYJets_M-200to400 DYJetsToLL_M-200to400_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8 7.77 298679.000000 171617.000000
DYJets_M-400to500 DYJetsToLL_M-400to500_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8 0.4065 287262.000000 151190.000000
DYJets_M-500to700 DYJetsToLL_M-500to700_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8 0.2334 280940.000000 144096.000000
DYJets_M-700to800 DYJetsToLL_M-700to800_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8 0.03614 276235.000000 136893.000000
DYJets_M-800to1000 DYJetsToLL_M-800to1000_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8 0.03047 271768.000000 131586.000000
DYJets_M-1000to1500 DYJetsToLL_M-1000to1500_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8 0.01636 258620.000000 120010.000000
DYJets_M-1500to2000 DYJetsToLL_M-1500to2000_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8 0.00218 258625.000000 111709.000000
DYJets_M-2000to3000 DYJetsToLL_M-2000to3000_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8 0.0005156 255342.000000 101298.000000
DYJets_Pt-50To100 DYJetsToLL_Pt-50To100_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8 363.81428 129835739.000000 47317893.000000
DYJets_Pt-100To250 DYJetsToLL_Pt-100To250_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8 84.014804 84284977.000000 30060343.000000
DYJets_Pt-250To400 DYJetsToLL_Pt-250To400_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8 3.228256512 21176899.000000 7781193.000000
DYJets_Pt-400To650 DYJetsToLL_Pt-400To650_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8 0.436041144 1625936.000000 628078.000000
DYJets_Pt-650ToInf DYJetsToLL_Pt-650ToInf_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8 0.040981055 1627882.000000 668552.000000
DYJets10to50_MG	DYJetsToLL_M-10to50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	18610	35114961	35114961
DYJets_MG	DYJetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	6077.22	146280395	146280395
DYJets_MG_HT-100to200	DYJetsToLL_M-50_HT-100to200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	181.30	11017086	11017086
DYJets_MG_HT-1200to2500	DYJetsToLL_M-50_HT-1200to2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	0.186222	596079	596079
DYJets_MG_HT-200to400	DYJetsToLL_M-50_HT-200to400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	50.4177	9609137	9609137
DYJets_MG_HT-2500toInf	DYJetsToLL_M-50_HT-2500toInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	0.00438495	399492	399492
